regal_code,year_month,time,status
11500,202110,2023-05-07 13:38:23,success
11500,202111,2023-05-07 13:38:24,success
11500,202112,2023-05-07 13:38:25,success
11500,202201,2023-05-07 13:38:27,success
11500,202202,2023-05-07 13:38:28,success
11500,202203,2023-05-07 13:38:29,success
11500,202204,2023-05-07 13:38:30,success
11500,202205,2023-05-07 13:38:31,success
11500,202206,2023-05-07 13:38:33,success
11500,202207,2023-05-07 13:38:34,success
11500,202208,2023-05-07 13:38:35,success
11500,202209,2023-05-07 13:38:36,success
11500,202210,2023-05-07 13:38:38,success
11500,202211,2023-05-07 13:38:39,success
11500,202212,2023-05-07 13:38:40,success
11530,202001,2023-05-07 13:38:41,success
11530,202002,2023-05-07 13:38:42,success
11530,202003,2023-05-07 13:38:44,success
11530,202004,2023-05-07 13:38:45,success
11530,202005,2023-05-07 13:38:46,success
11530,202006,2023-05-07 13:38:47,success
11530,202007,2023-05-07 13:38:49,success
11530,202008,2023-05-07 13:38:50,success
11530,202009,2023-05-07 13:38:51,success
11530,202010,2023-05-07 13:38:52,success
11530,202011,2023-05-07 13:38:54,success
11530,202012,2023-05-07 13:38:55,success
11530,202101,2023-05-07 13:38:56,success
11530,202102,2023-05-07 13:38:57,success
11530,202103,2023-05-07 13:38:59,success
11530,202104,2023-05-07 13:39:00,success
11530,202105,2023-05-07 13:39:01,success
11530,202106,2023-05-07 13:39:03,success
11530,202107,2023-05-07 13:39:04,success
11530,202108,2023-05-07 13:39:05,success
11530,202109,2023-05-07 13:39:06,success
11530,202110,2023-05-07 13:39:07,success
11530,202111,2023-05-07 13:39:09,success
11530,202112,2023-05-07 13:39:10,success
11530,202201,2023-05-07 13:39:11,success
11530,202202,2023-05-07 13:39:12,success
11530,202203,2023-05-07 13:39:13,success
11530,202204,2023-05-07 13:39:15,success
11530,202205,2023-05-07 13:39:16,success
11530,202206,2023-05-07 13:39:17,success
11530,202207,2023-05-07 13:39:18,success
11530,202208,2023-05-07 13:39:20,success
11530,202209,2023-05-07 13:39:21,success
11530,202210,2023-05-07 13:39:22,success
11530,202211,2023-05-07 13:39:23,success
11530,202212,2023-05-07 13:39:24,success
11545,202001,2023-05-07 13:39:26,success
11545,202002,2023-05-07 13:39:27,success
11545,202003,2023-05-07 13:39:28,success
11545,202004,2023-05-07 13:39:29,success
11545,202005,2023-05-07 13:39:30,success
11545,202006,2023-05-07 13:39:32,success
11545,202007,2023-05-07 13:39:33,success
11545,202008,2023-05-07 13:39:34,success
11545,202009,2023-05-07 13:39:36,success
11545,202010,2023-05-07 13:39:37,success
11545,202011,2023-05-07 13:39:38,success
11545,202012,2023-05-07 13:39:39,success
11545,202101,2023-05-07 13:39:41,success
11545,202102,2023-05-07 13:39:42,success
11545,202103,2023-05-07 13:39:43,success
11545,202104,2023-05-07 13:39:44,success
11545,202105,2023-05-07 13:39:45,success
11545,202106,2023-05-07 13:39:47,success
11545,202107,2023-05-07 13:39:48,success
11545,202108,2023-05-07 13:39:49,success
11545,202109,2023-05-07 13:39:51,success
11545,202110,2023-05-07 13:39:52,success
11545,202111,2023-05-07 13:39:53,success
11545,202112,2023-05-07 13:39:54,success
11545,202201,2023-05-07 13:39:56,success
11545,202202,2023-05-07 13:39:57,success
11545,202203,2023-05-07 13:39:58,success
11545,202204,2023-05-07 13:39:59,success
11545,202205,2023-05-07 13:40:01,success
11545,202206,2023-05-07 13:40:02,success
11545,202207,2023-05-07 13:40:03,success
11545,202208,2023-05-07 13:40:05,success
11545,202209,2023-05-07 13:40:06,success
11545,202210,2023-05-07 13:40:07,success
11545,202211,2023-05-07 13:40:08,success
11545,202212,2023-05-07 13:40:10,success
11560,202001,2023-05-07 13:40:11,success
11560,202002,2023-05-07 13:40:12,success
11560,202003,2023-05-07 13:40:13,success
11560,202004,2023-05-07 13:40:15,success
11560,202005,2023-05-07 13:40:16,success
11560,202006,2023-05-07 13:40:17,success
11560,202007,2023-05-07 13:40:18,success
11560,202008,2023-05-07 13:40:20,success
11560,202009,2023-05-07 13:40:21,success
11560,202010,2023-05-07 13:40:22,success
